title,release_year,runtime,genres,imdb_score
Cha Cha Real Smooth,2022,108,"['drama', 'comedy']",7.3
The Shrink Next Door,2021,43,"['drama', 'comedy']",7.1
Now and Then,2022,54,"['drama', 'thriller', 'crime']",5.6
Luck,2022,105,"['fantasy', 'animation', 'comedy', 'family']",6.4
Physical,2021,29,"['drama', 'comedy']",7.3
Gutsy,2022,0,['documentation'],4
The Tragedy of Macbeth,2021,105,"['drama', 'thriller', 'war', 'history', 'comedy', 'romance', 'action']",7.1
The Last Days of Ptolemy Grey,2022,52,['drama'],7.8
Suspicion,2022,46,"['drama', 'crime', 'thriller']",6.2
Circuit Breakers,2022,25,"['family', 'scifi']",5.4
Calls,2021,16,"['thriller', 'drama', 'scifi', 'horror', 'animation']",7.7
The Big Conn,2022,57,"['documentation', 'crime']",7.1
Billie Eilish: The World's a Little Blurry,2021,140,"['music', 'documentation']",7.7
They Call Me Magic,2022,60,"['documentation', 'sport']",7.7
The Line,2021,56,"['war', 'documentation', 'crime']",7.7
Lisey's Story,2021,50,"['horror', 'thriller', 'drama', 'scifi', 'fantasy']",5.9
Come from Away,2021,107,"['comedy', 'drama']",8.6
Sidney,2022,106,['documentation'],7.8
Fraggle Rock: Back to the Rock,2022,27,"['animation', 'comedy', 'family']",8.1
Palmer,2021,110,['drama'],7.2
The Me You Can't See,2021,62,['documentation'],5.5
1971: The Year That Music Changed Everything,2021,45,"['documentation', 'history', 'music']",7.6
Watch the Sound with Mark Ronson,2021,35,"['documentation', 'music']",8
Louis Armstrong's Black & Blues,2022,104,"['documentation', 'music']",7.3
Cherry,2021,140,"['drama', 'crime']",6.6
Dr. Brain,2021,57,"['thriller', 'drama', 'scifi']",6.7
Mr. Corman,2021,29,"['comedy', 'drama']",6.5
The Velvet Underground,2021,121,"['documentation', 'music']",7.4
The Sky Is Everywhere,2022,103,"['drama', 'romance', 'music']",5.6
Swan Song,2021,112,"['drama', 'romance', 'scifi']",6.8
Fathom,2021,86,['documentation'],5.7
Lincoln's Dilemma,2022,55,"['documentation', 'history']",7.1
Swagger,2021,53,"['drama', 'sport']",7.2
Amber Brown,2022,25,"['family', 'comedy', 'drama']",5.5
'Twas the Fight Before Christmas,2021,91,['documentation'],6.3
Puppy Place,2021,26,[],7.2
9/11: Inside the President's War Room,2021,89,"['history', 'documentation']",7.5
The Year Earth Changed,2021,48,['documentation'],8.2
"Hello, Jack! The Kindness Show",2021,22,"['family', 'comedy']",8
Surfside Girls,2022,30,"['thriller', 'family']",6.5
