Title,Date,Genre,orig_lang,Revenue($),Budget($),country,score
Giant,6-Jun-57,"Drama, Western", English,32855818,5400000,AU,76
Lost Highway,27-Mar-97,"Drama, Thriller, Mystery", English,3756869,15000000,AU,76
Moon,8-Oct-09,"Science Fiction, Drama", English,10676073,5000000,AU,76
Two by Two: Overboard!,1-Apr-21,"Animation, Adventure, Comedy, Family", English,379074782,119200000,AU,76
Scooby-Doo! and WWE: Curse of the Speed Demon,10-Aug-16,"Family, Animation, Comedy, Mystery", English,337633178,120000000,AU,76
We Need to Talk About Kevin,17-Nov-11,"Drama, Thriller", English,10765283,7000000,AU,76
Work It,7-Aug-20,"Comedy, Music", English,737876731,127300000,AU,76
What We Do in the Shadows,4-Sep-14,"Comedy, Horror", English,6263224,1600000,AU,76
Guess Who's Coming to Dinner,1-Aug-68,"Drama, Comedy", English,56666667,4000000,AU,76
I Origins,15-Sep-14,"Science Fiction, Drama", English,852399,1000000,AU,76
Gladiator,9-Jul-92,"Action, Drama", English,452282115,103000000,AU,76
Me and Earl and the Dying Girl,3-Sep-15,"Drama, Comedy", English,9266180,8000000,AU,76
Winnie the Pooh: Blood and Honey,14-Feb-23,"Horror, Thriller", English,3200000,100000,AU,58
Exodus: Gods and Kings,11-Dec-14,"Adventure, Drama, Action", English,268314513,140000000,AU,58
Last Man Down,1-Nov-21,"Action, Thriller", English,250351475,165000000,AU,58
2012,23-Oct-09,"Action, Adventure, Science Fiction", English,757677748,200000000,AU,58
Spiderhead,17-Jun-22,"Science Fiction, Thriller", English,365455880,102800000,AU,58
Ava,2-Sep-20,"Action, Crime, Drama, Adventure, Thriller", English,2987741,12000000,AU,58
Legion,3-Jun-10,"Horror, Action, Fantasy", English,67647574,26000000,AU,58
G.I. Joe: The Rise of Cobra,6-Aug-09,"Adventure, Action, Thriller, Science Fiction", English,302469017,175000000,AU,58
Hitman: Agent 47,20-Aug-15,"Action, Crime, Thriller", English,82182803,35000000,AU,58
Hercules,24-Jul-14,"Action, Adventure", English,243388614,100000000,AU,58
Hercules,24-Jul-14,"Action, Adventure", English,250700000,70000000,AU,58
Underworld: Blood Wars,28-Nov-16,"Fantasy, Action, Thriller, Horror", English,81209222,35000000,AU,58
Battleship,11-Apr-12,"Thriller, Action, Adventure, Science Fiction", English,313477717,220000000,AU,58
That's My Boy,14-Jun-12,"Comedy, Drama", English,58058367,70000000,AU,58
Jack the Giant Slayer,21-Mar-13,"Fantasy, Action, Adventure, Family", English,197687603,195000000,AU,58
R.I.P.D.,12-Sep-13,"Fantasy, Action, Comedy, Crime", English,79076678,130000000,AU,58
Shadow in the Cloud,14-Jan-21,"Horror, Action, War", English,1054290,6130000,AU,58
Alvin and the Chipmunks,3-Jan-08,"Comedy, Family, Fantasy, Animation", English,362605033,55000000,AU,58
I Spit on Your Grave III: Vengeance is Mine,4-Nov-15,"Horror, Thriller", English,144420,3970000,AU,58
Death Race 2,12-Nov-10,"Action, Thriller, Science Fiction", English,49506597,7000000,AU,58
SAS: Red Notice,27-Aug-21,"Drama, Action, Thriller", English,561970766,160000000,AU,58
Spy Kids,20-Sep-01,"Action, Comedy, Family, Adventure", English,197692062,35000000,AU,58
The Smurfs,15-Sep-11,"Animation, Family, Adventure, Comedy, Fantasy", English,563749323,110000000,AU,58
The Smurfs 2,12-Sep-13,"Fantasy, Family, Comedy, Animation", English,348547523,110000000,AU,58
Fantastic Four,7-Jul-05,"Action, Adventure, Fantasy, Science Fiction", English,333132750,87500000,AU,58
Charlie's Angels,24-Nov-00,"Action, Adventure, Comedy, Crime, Thriller", English,259736090,90000000,AU,58
Mortal Kombat,26-Dec-95,"Action, Fantasy", English,83508259,55000000,AU,58
Gnomeo & Juliet,17-Feb-11,"Animation, Family", English,189712432,36000000,AU,58
The Three Musketeers,14-Oct-11,"Adventure, Action, Thriller", English,139877913,90000000,AU,58
The Wolfman,25-Feb-10,"Horror, History, Drama, Thriller", English,142634358,150000000,AU,58
Priest,4-Aug-11,"Horror, Action, Thriller", English,84154026,60000000,AU,58
Barnyard,21-Sep-06,"Animation, Comedy, Family", English,116476887,51000000,AU,58
The Core,12-Jun-03,"Action, Thriller, Adventure, Science Fiction", English,74120792,85000000,AU,58
Beethoven,9-Apr-92,"Family, Comedy", English,147214049,9100168.6,AU,58
RoboCop,6-Feb-14,"Science Fiction, Action", English,242981799,120000000,AU,58
RoboCop,6-Feb-14,"Science Fiction, Action", English,54125172,13000000,AU,58
Poseidon,1-Jun-06,"Adventure, Action, Drama, Thriller", English,181674817,160000000,AU,58
Punisher: War Zone,5-Dec-08,"Action, Crime", English,10157534,35000000,AU,58
Marauders,14-Sep-16,"Action, Crime, Thriller", English,58328054,15000000,AU,58
Trainwreck,30-Jul-15,"Comedy, Romance", English,141123897,35000000,AU,58
Firestarter,12-May-22,"Science Fiction, Thriller, Horror", English,15136870,15000000,AU,58
Police Academy 3: Back in Training,1-May-86,"Comedy, Crime", English,107600000,12000000,AU,58
Big Momma's House,7-Sep-00,"Crime, Comedy", English,173559438,33000000,AU,58
Planet 51,4-Dec-09,"Animation, Family, Comedy, Science Fiction, Adventure", English,108996113,60000000,AU,58
Starsky & Hutch,8-Apr-04,"Comedy, Crime", English,170200225,60000000,AU,58
The Pink Panther,9-Mar-06,"Comedy, Mystery, Crime, Adventure, Family", English,158926474,80000000,AU,58
Dennis the Menace,24-Jun-93,"Family, Comedy", English,117270765,35000000,AU,58
Identity Thief,28-Feb-13,"Comedy, Crime", English,175361578,35000000,AU,58
The Brothers Grimm,24-Nov-05,"Adventure, Fantasy, Action, Comedy, Thriller", English,105299638,80000000,AU,58
In the Earth,18-Aug-21,"Horror, Science Fiction, Thriller", English,339099716,154000000,AU,58
Judge Dredd,20-Jul-95,Science Fiction, English,113487912,85000000,AU,58
Open Season 2,31-Dec-08,"Adventure, Animation, Comedy, Family", English,8700000,39120168.6,AU,58
The Break-Up,6-Jun-06,"Romance, Comedy", English,205727307,52000000,AU,58
47 Meters Down,31-Oct-19,"Horror, Thriller, Adventure", English,62633705,5300000,AU,58
Funny People,24-Aug-09,"Comedy, Drama", English,71880305,72500000,AU,58
Under Siege 2: Dark Territory,20-Jul-95,"Action, Thriller", English,104324083,60000000,AU,58
Ma,6-Jun-19,"Horror, Thriller", English,51749995,5000000,AU,58
S.W.A.T.: Firefight,1-Jun-11,"Action, Crime, Thriller", English,50940321,8000000,AU,58
Little Monsters,12-Sep-90,"Adventure, Fantasy, Comedy, Family", English,793775,7000000,AU,58
It Comes at Night,6-Jul-17,"Drama, Horror, Mystery", English,19720203,5000000,AU,58
Four Rooms,28-Mar-96,"Crime, Comedy", English,4301000,4000000,AU,58
Mr. Deeds,22-Aug-02,"Comedy, Romance", English,171269535,50000000,AU,58
Big Fat Liar,11-Jul-02,"Family, Comedy, Adventure", English,52461017,15000000,AU,58
Young Adult,19-Jan-12,"Comedy, Drama", English,22750356,12000000,AU,58
Striking Distance,13-Jan-94,"Crime, Action, Mystery, Thriller", English,1136586915,140159000,AU,58
Any Which Way You Can,30-Dec-80,"Action, Adventure, Comedy", English,70687344,15000000,AU,58
Into the Woods,8-Jan-15,"Fantasy, Comedy", English,212416317,56200000,AU,58
7 Days in Entebbe,29-Aug-18,"Thriller, Drama, Crime", English,9196740,6206068,AU,58
Blithe Spirit,10-Nov-20,"Comedy, Fantasy, Romance", English,653477685,109000000,AU,58
Automata,14-Nov-14,"Thriller, Science Fiction", English,58096837,7000000,AU,58
Fred Claus,15-Nov-07,"Action, Comedy, Drama", English,97838349,100000000,AU,58
The Captive,20-Nov-14,"Drama, Thriller, Crime", English,1075178,12670000,AU,58
Morgan,17-Nov-16,"Horror, Science Fiction, Thriller", English,7298786,8000000,AU,58
Race to Witch Mountain,12-May-09,"Adventure, Family, Fantasy, Science Fiction, Thriller, Action", English,105103784,50000000,AU,58
Four Christmases,4-Dec-08,"Comedy, Romance, Drama", English,168311558,80000000,AU,58
Phantom,7-Aug-13,thriller, English,1199510,18000000,AU,58
Cutthroat Island,26-Dec-95,"Action, Adventure", English,18517322,92000000,AU,58
Crocodile Dundee II,23-Feb-89,"Adventure, Comedy", English,239606210,14000000,AU,58
The Operative,1-Apr-20,"Drama, Thriller", English,1431904,4570000,AU,58
Barbershop 2: Back in Business,13-May-04,"Comedy, Drama", English,65842412,18000000,AU,58
Failure to Launch,31-May-06,"Comedy, Romance", English,128402901,50000000,AU,58
Things Heard & Seen,30-Apr-21,horror, English,431298841,70740000,AU,58
Blank Check,15-Sep-94,"Comedy, Family", English,62543293,13000000,AU,58
Seance,29-Sep-21,horror, English,431298841,70740000,AU,58
Mystery Men,13-Jan-00,"Adventure, Fantasy, Action, Comedy, Science Fiction", English,33462011,68000000,AU,58
3000 Miles to Graceland,24-May-01,"Action, Adventure, Comedy, Crime, Thriller", English,18708848,62000000,AU,58
Kicking & Screaming,11-Aug-05,"Family, Comedy", English,56070433,45000000,AU,58
Analyze That,16-Jan-03,"Comedy, Crime", English,54994757,60000000,AU,58
Afternoon Delight,30-Aug-13,"Comedy, Drama", English,182940447,84800000,AU,58
The Midnight Sky,10-Dec-20,"Science Fiction, Drama", English,75615,100000000,AU,58
High Life,6-Jun-19,"Science Fiction, Drama, Mystery", English,2133033,8933400,AU,58
House at the End of the Street,8-Nov-12,"Horror, Thriller", English,44103982,6900000,AU,58
The Nun,6-Sep-18,"Horror, Mystery, Thriller", English,363391647,22000000,AU,59
Transformers: Age of Extinction,26-Jun-14,"Science Fiction, Action, Adventure", English,1104054072,210000000,AU,59
Teenage Mutant Ninja Turtles,11-Sep-14,"Science Fiction, Action, Adventure, Comedy", English,485004754,125000000,AU,59
Teenage Mutant Ninja Turtles,11-Sep-14,"Science Fiction, Action, Adventure, Comedy", English,202000000,13500000,AU,59
Terminator Genisys,1-Jul-15,"Science Fiction, Action, Thriller, Adventure", English,440603537,155000000,AU,59
Batman v Superman: Dawn of Justice,24-Mar-16,"Action, Adventure, Fantasy", English,872395091,263000000,AU,59
Suicide Squad,4-Aug-16,"Action, Adventure, Fantasy", English,745744980,175000000,AU,59
Clash of the Titans,10-Aug-10,"Adventure, Fantasy, Action", English,493214888,125000000,AU,59
Clash of the Titans,10-Aug-10,"Adventure, Fantasy, Action", English,44400000,15000000,AU,59
Mother/Android,7-Jan-22,"Science Fiction, Thriller", English,616193306,140400000,AU,59
Jennifer's Body,31-Mar-10,"Horror, Comedy", English,31943401,16000000,AU,59
Chicken Little,1-Jan-06,"Animation, Family, Comedy", English,310043823,150000000,AU,59
Jack Reacher: Never Go Back,20-Oct-16,"Action, Thriller", English,159946489,60000000,AU,59
The 5th Wave,14-Jan-16,"Science Fiction, Adventure, Action", English,111336398,38000000,AU,59
House of Wax,14-Jul-05,"Horror, Thriller", English,70064800,35000000,AU,59
House of Wax,14-Jul-05,"Horror, Thriller", English,23800000,658000,AU,59
The Legend of Tarzan,30-Jun-16,"Fantasy, Action, Adventure", English,348902025,180000000,AU,59
Planes,19-Sep-13,"Animation, Family, Adventure, Comedy", English,219788712,50000000,AU,59
101 Dalmatians,5-Dec-96,"Family, Comedy", English,320689294,54000000,AU,59
Oz the Great and Powerful,7-Mar-13,"Fantasy, Adventure, Family", English,490359051,200000000,AU,59
Rogue Hostage,30-Aug-21,"Action, Thriller", English,457654822,70520000,AU,59
Paranormal Activity 3,20-Oct-11,"Horror, Mystery", English,207039844,5000000,AU,59
Child's Play 3,12-Nov-91,"Horror, Thriller", English,20560255,13000000,AU,59
RV,1-Jun-06,"Family, Comedy", English,87528173,50000000,AU,59
No One Gets Out Alive,29-Sep-21,"Horror, Thriller, Mystery", English,405888913,139000000,AU,59
The Doorman,17-Feb-21,"Action, Thriller", English,307873,10330000,AU,59
The Grudge,18-Nov-04,"Horror, Mystery, Thriller", English,187281115,10000000,AU,59
The Grudge,18-Nov-04,"Horror, Mystery, Thriller", English,49503117,10000000,AU,59
Pets United,11-Sep-20,"Animation, Family, Adventure, Comedy", English,612263067,120100000,AU,59
xXx,3-Oct-02,"Action, Adventure, Thriller", English,267200000,70000000,AU,59
Point Break,1-Jan-16,"Action, Adventure, Crime, Thriller", English,126704591,100000000,AU,59
Point Break,1-Jan-16,"Action, Adventure, Crime, Thriller", English,83531958,24000000,AU,59
Poker Face,22-Nov-22,thriller, English,690959382,164900000,AU,59
Species,3-Aug-95,"Science Fiction, Horror, Action", English,113354449,35000000,AU,59
AVP: Alien vs. Predator,30-Sep-04,"Adventure, Science Fiction, Action, Horror", English,177427090,70000000,AU,59
The Last Witch Hunter,29-Oct-15,"Fantasy, Action, Adventure", English,130818912,80000000,AU,59
Hostel,23-Feb-06,horror, English,82241110,4800000,AU,59
Hollow Man,24-Aug-00,"Action, Science Fiction, Thriller", English,191200000,90000000,AU,59
Robin Hood,1-Feb-19,"Adventure, Action, Thriller", English,322459006,210000000,AU,59
Robin Hood,1-Feb-19,"Adventure, Action, Thriller", English,85210012,99000000,AU,59
Alexander,20-Jan-05,"War, History, Action, Adventure, Drama, Romance", English,167297191,155000000,AU,59
Lara Croft: Tomb Raider,19-Oct-01,"Adventure, Fantasy, Action, Thriller", English,273330185,94000000,AU,59
Wild Hogs,8-Mar-07,"Action, Adventure, Comedy", English,253555383,60000000,AU,59
Open Season: Scared Silly,10-Mar-16,"Animation, Comedy, Family, Adventure", English,272878259,97300000,AU,59
Immortals,28-Nov-11,"Fantasy, Action, Drama", English,211562435,75000000,AU,59
Blade: Trinity,26-Dec-04,"Action, Horror, Fantasy", English,131353165,65000000,AU,59
Mr. Popper's Penguins,30-Jun-11,"Comedy, Family", English,187361754,55000000,AU,59
Killers,29-Jul-10,"Action, Comedy, Thriller, Romance", English,95572749,75000000,AU,59
The Spy Next Door,25-Mar-10,"Action, Comedy, Family", English,46752858,28000000,AU,59
Into the Blue,20-Oct-05,"Action, Thriller, Adventure, Crime", English,41982227,50000000,AU,59
The Karate Kid Part III,17-Aug-89,"Action, Family, Drama, Adventure", English,38956288,12500000,AU,59
Beowulf,16-Nov-07,"Adventure, Action, Animation", English,195080579,150000000,AU,59
Lake Placid,28-Oct-99,"Horror, Comedy, Action, Science Fiction, Thriller", English,31770413,27000000,AU,59
Starship Troopers: Invasion,28-Aug-12,"Animation, Action, Science Fiction", English,193425,4473585.6,AU,59
RoboCop 2,1-Nov-90,"Action, Adventure, Crime, Science Fiction, Thriller", English,45681173,35000000,AU,59
National Security,8-May-03,"Action, Comedy, Crime", English,50097949,15401932.4,AU,59
Grimsby,3-Mar-16,"Action, Comedy", English,27979040,35000000,AU,59
Endangered Species,1-Aug-21,"Thriller, Action", English,68152,8570000,AU,59
Saludos Amigos,10-Feb-44,"Animation, Family, Adventure", English,1135000,6873585.6,AU,59
Little Nicky,26-Dec-00,"Comedy, Fantasy", English,58270391,80000000,AU,59
Sahara,7-Apr-05,"Action, Adventure, Comedy, Drama, Mystery", English,121645390,145000000,AU,59
The Specialist,26-Feb-95,"Action, Thriller", English,170362581,45000000,AU,59
Daddy Day Care,26-Jun-03,"Comedy, Family", English,164285587,60000000,AU,59
Around the World in 80 Days,26-Aug-04,"Action, Adventure, Comedy", English,72004159,110000000,AU,59
Around the World in 80 Days,26-Aug-04,"Action, Adventure, Comedy", English,42000000,6000000,AU,59
Ben 10: Destroy All Aliens,11-Mar-12,"Animation, Science Fiction, Family, Action", English,416043914,88000000,AU,59
Broken City,6-Mar-13,"Thriller, Crime, Drama", English,37114977,35000000,AU,59
The 6th Day,15-Dec-00,"Science Fiction, Action, Mystery", English,96024898,82000000,AU,59
Pyewacket,25-Nov-17,"Thriller, Horror, Drama", English,421853130,82700000,AU,59
Abduction,22-Sep-11,"Thriller, Action, Mystery", English,86648359,35000000,AU,59
Escape from L.A.,9-Oct-96,"Action, Adventure, Science Fiction, Thriller", English,25426861,50000000,AU,59
Free Birds,12-Feb-14,"Animation, Comedy, Family", English,110387072,55000000,AU,59
Mirror Mirror,29-Mar-12,"Adventure, Comedy, Family, Fantasy", English,173613482,85000000,AU,59
Valentine's Day,11-Feb-10,"Comedy, Romance", English,217569328,52000000,AU,59
The Dyatlov Pass Incident,23-Aug-13,"Thriller, Mystery", English,5217347,8500000,AU,59
Beverly Hills Cop III,16-Jun-94,"Action, Comedy, Crime", English,119180938,50000000,AU,59
I Know What You Did Last Summer,27-Nov-97,"Horror, Thriller, Mystery", English,125250091,17000000,AU,59
Stowaway,22-Apr-21,"Science Fiction, Drama, Thriller, Adventure", English,97710924,10000000,AU,59
Passenger 57,18-Mar-93,"Action, Adventure, Thriller", English,44065653,15000000,AU,59
1922,20-Oct-17,"Horror, Crime, Drama", English,720295760,93459000,AU,59
New Year's Eve,8-Dec-11,"Comedy, Romance", English,142044638,56000000,AU,59
Alone,1-Jan-21,"Horror, Thriller", English,508441693,104600000,AU,59
Fantasy Island,13-Feb-20,"Horror, Fantasy, Adventure, Mystery, Action", English,48518957,7000000,AU,59
Black Water,1-Jun-07,"Adventure, Drama, Horror", English,1271556,700000,AU,59
Absolutely Anything,28-Sep-15,"Comedy, Science Fiction", English,6303792,22403300.6,AU,59
Out of Death,20-Sep-21,"Action, Thriller", English,95813,10330000,AU,59
Sudden Death,11-Jan-96,action, English,64350171,35000000,AU,59
American Ninja,3-Jul-86,action, English,10499694,1000000,AU,59
Nim's Island,3-Apr-08,"Adventure, Comedy, Family, Fantasy", English,101857425,37000000,AU,59
The Wedding Planner,29-Mar-01,"Comedy, Romance", English,94728529,28000000,AU,59
The Lair of the White Worm,20-Aug-21,"Comedy, Fantasy, Horror", English,1189315,2500000,AU,59
Take Down,9-Nov-16,thriller, English,690959382,164900000,AU,59
Greenberg,22-Jul-10,"Comedy, Drama, Romance", English,6344112,20026068,AU,59
Personal Shopper,15-Jun-16,"Drama, Mystery, Thriller", English,3804977,6400000,AU,59
Dino Time,25-Jul-13,"Animation, Adventure, Comedy, Family", English,422257724,167840000,AU,59
Jack Frost,10-Dec-98,"Comedy, Family, Drama, Fantasy", English,34645374,50000000,AU,59
Missing in Action 2: The Beginning,6-Mar-86,"Action, War", English,10755447,2410000,AU,59
The Delta Force,14-May-86,"Action, Thriller, Adventure", English,17768900,10330000,AU,59
The Front Runner,27-Nov-18,"Drama, History", English,3242235,9438800,AU,59
The Golden Child,26-Dec-86,"Action, Adventure, Comedy", English,79817937,12000000,AU,59
Head in the Clouds,8-Jun-05,"Drama, Romance, War", English,679624891,122800000,AU,59
"Hail, Caesar!",25-Feb-16,"Comedy, Drama, Mystery", English,64220196,22000000,AU,59
St. Trinian's,27-Mar-08,"Comedy, Family, Science Fiction", English,29066681,22620000,AU,59
Super Troopers 2,19-Apr-18,"Comedy, Crime, Mystery", English,31966740,13500000,AU,59
Money Train,23-Nov-95,"Action, Comedy, Crime", English,77224232,68000000,AU,59
Snow White: The Fairest of Them All,28-Oct-01,"Adventure, Family, Fantasy, TV Movie", English,387557034,135400000,AU,59
Third Person,25-Sep-14,"Drama, Romance", English,1749201,28000000,AU,59
3 from Hell,31-Oct-19,"Drama, Horror, Crime", English,2295825,3000000,AU,59
Gringo,1-Aug-18,"Comedy, Action, Crime", English,293448757,120600000,AU,59
The Big Hit,25-Jun-98,"Action, Adventure, Comedy, Thriller", English,27073371,13000000,AU,59
The Comeback Trail,12-Nov-20,"Comedy, Crime", English,311771980,73359000,AU,59
Wuthering Heights,11-Oct-12,"Drama, Romance", English,2721534,8000000,AU,59
Destroyer,16-Jan-19,"Thriller, Crime, Drama, Action", English,5865489,9000000,AU,59
The Santa Clause 2,5-Dec-02,"Fantasy, Comedy, Family", English,172844592,65000000,AU,59
High Heat,1-Mar-23,"Action, Comedy, Crime", English,277412220,78000000,AU,60
Wrong Turn 2: Dead End,16-Oct-07,"Horror, Thriller", English,30361598,4000000,AU,60
Scooby-Doo,20-Jun-02,"Mystery, Adventure, Comedy", English,276294164,84000000,AU,60
Fortress,1-Mar-22,"Action, Thriller, Crime", English,46730578,12000000,AU,60
Wrong Turn,4-Feb-21,"Horror, Thriller", English,28649556,10000000,AU,60
The Twilight Saga: New Moon,19-Nov-09,"Adventure, Fantasy, Drama, Romance", English,687557727,50000000,AU,60
The Great Wall,16-Feb-17,"Action, Adventure, Fantasy", English,334486852,150000000,AU,60
The First Purge,31-Oct-18,"Horror, Action, Thriller", English,137054597,13000000,AU,60
Shark Tale,20-Sep-04,"Animation, Action, Comedy, Family", English,371741123,75000000,AU,60
Terminator Salvation,4-Jun-09,"Action, Science Fiction, Thriller", English,365491792,200000000,AU,60
Dark Phoenix,6-Jun-19,"Science Fiction, Action, Adventure", English,246356895,200000000,AU,60
"Alice, Darling",3-Feb-23,"Thriller, Mystery, Drama", English,121067,3160000.2,AU,60
Hansel & Gretel: Witch Hunters,17-Jan-13,"Fantasy, Horror, Action", English,214949716,50000000,AU,60
Stuart Little,6-Apr-00,"Family, Fantasy, Comedy, Adventure", English,298815224,105000000,AU,60
Indiana Jones and the Kingdom of the Crystal Skull,22-May-08,"Adventure, Action", English,786635413,185000000,AU,60
Caligula,16-Jul-81,"Drama, History, Romance", English,23438120,17500000,AU,60
Paranormal Activity,3-Dec-09,"Horror, Mystery", English,194183034,450000,AU,60
Teenage Mutant Ninja Turtles: Out of the Shadows,15-Sep-16,"Action, Adventure, Comedy, Family, Science Fiction", English,245328374,135000000,AU,60
Awake,9-Jun-21,"Drama, Science Fiction, Thriller", English,32968648,8600000,AU,60
Bee Movie,6-Dec-07,"Family, Animation, Adventure, Comedy", English,287594577,150000000,AU,60
Saw 3D,26-Oct-10,"Horror, Crime", English,133735284,17000000,AU,60
Snow White and the Huntsman,21-Jun-12,"Adventure, Fantasy, Drama", English,401021746,170000000,AU,60
The Old Way,1-Apr-23,"Western, Action", English,208453066,102400000,AU,60
Home on the Range,16-Sep-04,"Animation, Family", English,76482461,110000000,AU,60
101 Dalmatians II: Patch's London Adventure,12-Nov-02,"Family, Adventure, Comedy, Animation", English,520075508,131600000,AU,60
Total Recall,6-Sep-12,"Action, Science Fiction, Thriller", English,211856088,125000000,AU,60
Total Recall,6-Sep-12,"Action, Science Fiction, Thriller", English,261399830,65000000,AU,60
Voyagers,8-Apr-21,"Science Fiction, Thriller", English,4131781,29000000,AU,60
Truth or Dare,15-Aug-18,"Thriller, Horror", English,95292744,3500000,AU,60
Men in Black: International,13-Jun-19,"Comedy, Science Fiction, Action", English,253015298,110000000,AU,60
Igor,8-Jan-09,"Animation, Comedy, Family, Fantasy, Horror", English,31013349,22000000,AU,60
100% Wolf,29-May-20,"Animation, Family, Fantasy", English,9750139,19203585.8,AU,60
Alvin and the Chipmunks: The Road Chip,26-Dec-15,"Adventure, Animation, Comedy, Family", English,249517956,90000000,AU,60
Percy Jackson: Sea of Monsters,15-Aug-13,"Adventure, Family, Fantasy", English,200859554,90000000,AU,60
The League of Extraordinary Gentlemen,2-Oct-03,"Fantasy, Action, Thriller, Science Fiction", English,179265204,78000000,AU,60
Doomsday,1-Oct-08,"Action, Thriller, Science Fiction", English,21621188,33000000,AU,60
Into the Storm,3-Sep-14,"Action, Thriller", English,150429371,50000000,AU,60
Carrie,13-Nov-13,"Drama, Horror", English,25886736,1800000,AU,60
Dark Shadows,10-May-12,"Comedy, Fantasy", English,245564215,150000000,AU,60
Red Riding Hood,24-Mar-11,"Fantasy, Thriller, Horror", English,91678442,42000000,AU,60
The Golden Compass,12-Dec-07,"Adventure, Fantasy", English,367262558,205000000,AU,60
Pan,24-Sep-15,"Fantasy, Adventure, Family, Action", English,151525973,150000000,AU,60
Parker,14-Mar-13,"Action, Crime", English,48543388,35000000,AU,60
Catwoman: Hunted,7-Feb-22,"Animation, Action, Crime", English,531753561,100000000,AU,60
Bedazzled,25-Jan-01,"Fantasy, Comedy, Romance", English,90376224,48000000,AU,60
Tracers,2-Sep-15,action, English,593683,11000000,AU,60
Don Jon,26-Sep-13,"Romance, Comedy, Drama", English,41268579,5500000,AU,60
The Jack in the Box,11-Oct-21,horror, English,1035734,1810000,AU,60
End of Days,26-Dec-99,"Action, Fantasy, Horror, Mystery", English,212026975,100000000,AU,60
National Lampoon's Van Wilder,4-Apr-02,"Comedy, Romance", English,39241323,6000000,AU,60
Austin Powers in Goldmember,19-Sep-02,"Comedy, Crime, Science Fiction", English,296338663,63000000,AU,60
The Queen's Corgi,12-Dec-19,"Family, Animation", English,35515687,23060000.2,AU,60
Transcendence,23-Apr-14,"Thriller, Science Fiction, Drama, Mystery", English,103039258,100000000,AU,60
Gaia,13-Aug-21,"Horror, Fantasy, Drama", English,508931823,130600000,AU,60
I Now Pronounce You Chuck & Larry,16-Aug-07,"Comedy, Romance", English,187134117,85000000,AU,60
Die Another Day,11-Dec-02,"Adventure, Action, Thriller", English,431942139,142000000,AU,60
Brahms: The Boy II,20-Feb-20,"Horror, Mystery, Thriller", English,18968326,10000000,AU,60
Barbarella,17-Oct-68,"Science Fiction, Adventure", English,0,9000000,AU,60
Ghosts of Girlfriends Past,7-May-09,"Fantasy, Comedy, Romance", English,102223269,37500000,AU,60
Child's Play,20-Jun-19,"Horror, Thriller, Science Fiction", English,44902237,10000000,AU,60
Twist,29-Apr-21,"Crime, Drama, Action", English,510466,2000000,AU,60
The Condemned,27-Apr-07,"Action, Thriller", English,8642858,10500000,AU,60
An American Werewolf in Paris,29-May-97,"Horror, Comedy", English,26570463,22000000,AU,60
Hot Tub Time Machine,22-Apr-10,"Science Fiction, Comedy, Adventure", English,65967750,36000000,AU,60
Eraser,19-Sep-96,"Action, Drama, Mystery, Thriller", English,234400000,100000000,AU,60
Halloween H20: 20 Years Later,29-Oct-98,"Horror, Thriller", English,75000000,17000000,AU,60
Hubie Halloween,7-Oct-20,"Comedy, Mystery, Horror", English,159353270,14000000,AU,60
Deep Blue Sea,27-Sep-99,"Action, Horror, Science Fiction", English,165048228,60000000,AU,60
Cry Macho,25-Nov-21,"Drama, Western", English,16481544,33000000,AU,60
Miami Vice,10-Aug-06,"Action, Crime, Thriller", English,164920076,135000000,AU,60
Eli,18-Oct-19,horror, English,0,11000000,AU,60
Sneakerella,13-May-22,"Music, Comedy, Family", English,690731020,58000000,AU,60
Next,23-Aug-07,"Action, Science Fiction, Thriller", English,73591500,70000000,AU,60
Kidnapping Mr. Heineken,12-Mar-15,"Drama, Action, Crime, Thriller, Mystery", English,2633527,3938800.2,AU,60
Hard to Kill,17-May-90,action, English,47410000,10000000,AU,60
Jingle All the Way,21-Nov-96,"Family, Comedy, Adventure", English,129832389,60000000,AU,60
Bandidas,3-Jul-07,"Action, Comedy, Western, Crime", English,19282590,35000000,AU,60
Poltergeist II: The Other Side,7-Aug-86,"Horror, Thriller", English,40996665,19000000,AU,60
The Tale of Despereaux,4-Sep-14,"Adventure, Animation, Family", English,90482317,60000000,AU,60
Universal Soldier: The Return,5-Aug-99,"Action, Science Fiction", English,10667893,45000000,AU,60
The Peacemaker,4-Dec-97,"Action, Thriller", English,62967368,50000000,AU,60
Color Out of Space,6-Feb-20,"Mystery, Science Fiction, Horror, Thriller, Drama", English,1023510,6000000,AU,60
The Possession,19-Dec-12,"Horror, Thriller", English,82925064,14000000,AU,60
Along Came Polly,22-Jan-04,"Comedy, Romance", English,173044410,42000000,AU,60
Beautiful Creatures,13-Feb-13,"Fantasy, Drama, Romance", English,60282876,50000000,AU,60
Broken Arrow,11-Aug-96,"Action, Thriller, Adventure", English,148345997,65000000,AU,60
Gretel & Hansel,3-Aug-20,"Fantasy, Horror, Mystery", English,22052456,5000000,AU,60
The Last House on the Left,4-Nov-04,"Horror, Thriller", English,46526243,15000000,AU,60
The Last House on the Left,4-Nov-04,"Horror, Thriller", English,3100000,87000,AU,60
The Monuments Men,13-Mar-14,"War, Drama, History, Action", English,158702748,70000000,AU,60
The Cable Guy,12-Sep-96,"Comedy, Drama, Thriller", English,102825796,47000000,AU,60
